document	term	tfidf
elencoburl_85233366_policy_13934	affiliare	0.086471
elencoburl_85233366_policy_13934	altresì	0.035045
elencoburl_85233366_policy_13934	anno	0.031986
elencoburl_85233366_policy_13934	approvazione	0.027028
elencoburl_85233366_policy_13934	atto	0.020433
elencoburl_85233366_policy_13934	bando	0.041253
elencoburl_85233366_policy_13934	bollettino	0.021716
elencoburl_85233366_policy_13934	burl	0.035045
elencoburl_85233366_policy_13934	capoverso	0.086471
elencoburl_85233366_policy_13934	causa	0.059812
elencoburl_85233366_policy_13934	comitato	0.055521
elencoburl_85233366_policy_13934	complessivo	0.030887
elencoburl_85233366_policy_13934	concessione	0.043177
elencoburl_85233366_policy_13934	contestuale	0.052014
elencoburl_85233366_policy_13934	contributo	0.03572
elencoburl_85233366_policy_13934	definitivo	0.057547
elencoburl_85233366_policy_13934	delegazione	0.06885
elencoburl_85233366_policy_13934	determinazioni	0.04905
elencoburl_85233366_policy_13934	dicembre	0.019823
elencoburl_85233366_policy_13934	dispositivo	0.06238
elencoburl_85233366_policy_13934	eccellenza	0.073142
elencoburl_85233366_policy_13934	effettuare	0.033152
elencoburl_85233366_policy_13934	errore	0.065344
elencoburl_85233366_policy_13934	essere	0.020746
elencoburl_85233366_policy_13934	euro	0.03642
elencoburl_85233366_policy_13934	gennaio	0.021387
elencoburl_85233366_policy_13934	giovedì	0.059812
elencoburl_85233366_policy_13934	graduatorio	0.06238
elencoburl_85233366_policy_13934	impegnare	0.052014
elencoburl_85233366_policy_13934	impegno	0.047723
elencoburl_85233366_policy_13934	importo	0.033152
elencoburl_85233366_policy_13934	linea	0.041253
elencoburl_85233366_policy_13934	liquidazione	0.043177
elencoburl_85233366_policy_13934	lombarde	0.043177
elencoburl_85233366_policy_13934	materiale	0.04905
elencoburl_85233366_policy_13934	merito	0.03642
elencoburl_85233366_policy_13934	numero	0.019524
elencoburl_85233366_policy_13934	oggetto	0.028861
elencoburl_85233366_policy_13934	ordinaria	0.02205
elencoburl_85233366_policy_13934	premessa	0.033763
elencoburl_85233366_policy_13934	provvedere	0.029348
elencoburl_85233366_policy_13934	pubblicare	0.030887
elencoburl_85233366_policy_13934	regionale	0.020746
elencoburl_85233366_policy_13934	rettifica	0.065344
elencoburl_85233366_policy_13934	ritenuto	0.028861
elencoburl_85233366_policy_13934	seguente	0.03036
elencoburl_85233366_policy_13934	serie	0.02205
elencoburl_85233366_policy_13934	sostegno	0.047723
elencoburl_85233366_policy_13934	sostituire	0.052014
elencoburl_85233366_policy_13934	succitato	0.073142
elencoburl_85233366_policy_13934	testo	0.031429
elencoburl_85233366_policy_13934	ufficiale	0.021716
elencoburl_84776581_policy_13870	aggiungere	0.019112
elencoburl_84776581_policy_13870	aggregazione	0.017991
elencoburl_84776581_policy_13870	aggregazioni	0.020558
elencoburl_84776581_policy_13870	alcuno	0.012146
elencoburl_84776581_policy_13870	ammesse	0.015037
elencoburl_84776581_policy_13870	ammesso	0.013592
elencoburl_84776581_policy_13870	ammettere	0.010322
elencoburl_84776581_policy_13870	amministrazione	0.009706
elencoburl_84776581_policy_13870	aree	0.015629
elencoburl_84776581_policy_13870	arrotondamento	0.019112
elencoburl_84776581_policy_13870	asse	0.013592
elencoburl_84776581_policy_13870	assetto	0.011554
elencoburl_84776581_policy_13870	automatico	0.017991
elencoburl_84776581_policy_13870	azione	0.010109
elencoburl_84776581_policy_13870	bando	0.01078
elencoburl_84776581_policy_13870	bare	0.013592
elencoburl_84776581_policy_13870	bioprobes	0.022596
